                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.55395,                0.60519,                0.96969,                0.82038,                    0.8,                0.81326,                0.69722,                0.65927,                 1.0803,                 1.0981,              0.0050005,              0.0050005,              0.0050005
                    104,                0.59496,                0.65472,                0.97381,                0.59267,                    0.9,                0.70978,                0.58755,                0.70226,                 1.1257,                 1.1487,               0.004951,               0.004951,               0.004951
                    105,                0.66254,                0.52547,                0.99048,                0.59267,                    0.9,                0.70978,                0.58755,                0.70226,                 1.1257,                 1.1487,              0.0049015,              0.0049015,              0.0049015
                    106,                0.69923,                0.56021,                 1.1341,                 0.6416,                0.89543,                  0.624,                0.53391,                0.73451,                 1.2898,                 1.1743,               0.004852,               0.004852,               0.004852
                    107,                0.52276,                0.51269,                0.92643,                0.61148,                0.78781,                0.59457,                0.47733,                0.76631,                 1.3406,                 1.2297,              0.0048025,              0.0048025,              0.0048025
                    108,                0.58901,                0.50867,                0.96499,                0.60204,                    0.8,                0.59125,                0.47509,                0.81169,                  1.394,                 1.2549,               0.004753,               0.004753,               0.004753
                    109,                0.51176,                0.52557,                0.96302,                0.60204,                    0.8,                0.59125,                0.47509,                0.81169,                  1.394,                 1.2549,              0.0047035,              0.0047035,              0.0047035
                    110,                0.51818,                0.50827,                0.94214,                0.66446,                0.79272,                0.64467,                 0.5131,                0.84224,                 1.4717,                 1.2607,               0.004654,               0.004654,               0.004654
                    111,                0.67846,                0.53807,                 1.0694,                0.57178,                0.53651,                0.48436,                0.38311,                0.85739,                 2.3601,                 1.2888,              0.0046045,              0.0046045,              0.0046045
                    112,                0.50284,                0.50042,                0.97568,                0.42839,                    0.5,                0.42238,                0.35547,                 0.8286,                 2.6669,                 1.2635,               0.004555,               0.004555,               0.004555
                    113,                0.53409,                0.54321,                0.98285,                0.42839,                    0.5,                0.42238,                0.35547,                 0.8286,                 2.6669,                 1.2635,              0.0045055,              0.0045055,              0.0045055
                    114,                0.50365,                0.48745,                0.93767,                0.60228,                    0.6,                0.55366,                0.47015,                 0.7915,                 2.1422,                 1.1942,               0.004456,               0.004456,               0.004456
